,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
20,Random Forest,1,raw seq,1.0,1.0,0.9924599434495759,1.0,0.9800995024875622,0.9899497487437185,0.9943502824858758,0.9855072463768116,1.0,0.9927007299270074
21,Random Forest,1,emb,0.571342031318637,0.7346349973161567,0.7935909519321395,0.6878172588832487,0.7384196185286104,0.7122207621550593,0.7175141242937854,0.6376811594202898,0.6376811594202898,0.6376811594202898
22,Baseline,1,raw seq,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
23,Baseline,1,emb,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
24,LSTM,1,raw seq,0.9961399842358254,0.9977187332259796,0.9802073515551367,0.9873096446700508,0.9604938271604938,0.9737171464330412,0.9830508474576272,0.9710144927536232,0.9852941176470589,0.9781021897810219
25,LSTM,1,emb,0.41117606564234943,0.4894659151905528,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
26,CNN,1,raw seq,0.9452186289028683,0.9840311325818573,0.9491046182846371,0.9644670050761421,0.9047619047619048,0.9336609336609337,0.943502824858757,0.9420289855072463,0.9154929577464789,0.9285714285714286
27,CNN,1,emb,0.4147169224482336,0.48544015029522275,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
28,SVM,2,raw seq,0.9999999999999996,1.0,0.9924599434495759,0.9975,0.9827586206896551,0.9900744416873448,0.9943502824858758,1.0,0.984375,0.9921259842519685
29,SVM,2,emb,0.6096278999086769,0.7731133389028126,0.7125353440150801,0.62,0.6184538653366584,0.6192259675405742,0.751412429378531,0.6666666666666666,0.6461538461538462,0.65625
30,Logistic Regression,2,raw seq,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.984375,0.9921259842519685
31,Logistic Regression,2,emb,0.5797795107025112,0.7588415483152325,0.7747408105560791,0.8225,0.6619718309859155,0.73355629877369,0.711864406779661,0.7936507936507936,0.5681818181818182,0.6622516556291391
32,Decision Tree,2,raw seq,0.9692307692307692,0.9912280701754386,1.0,1.0,1.0,1.0,0.9887005649717514,1.0,0.9692307692307692,0.9843749999999999
33,Decision Tree,2,emb,0.48140545383791794,0.6672932330827067,0.8124410933081998,0.83,0.7170626349892009,0.7694090382387023,0.6497175141242938,0.6031746031746031,0.5066666666666667,0.5507246376811594
34,Random Forest,2,raw seq,1.0,1.0,0.9934024505183789,1.0,0.9828009828009828,0.9913258983890954,0.9943502824858758,1.0,0.984375,0.9921259842519685
35,Random Forest,2,emb,0.610475593326015,0.776872737399053,0.7851083883129123,0.6875,0.7275132275132276,0.7069408740359898,0.7457627118644068,0.5873015873015873,0.6607142857142857,0.6218487394957983
36,Baseline,2,raw seq,0.3559322033898305,0.5,0.3770028275212064,1.0,0.3770028275212064,0.5475701574264203,0.3559322033898305,1.0,0.3559322033898305,0.525
37,Baseline,2,emb,0.3559322033898305,0.5,0.3770028275212064,1.0,0.3770028275212064,0.5475701574264203,0.3559322033898305,1.0,0.3559322033898305,0.525
38,LSTM,2,raw seq,0.9975172296405708,0.9986076301865776,0.9811498586239397,1.0,0.9523809523809523,0.975609756097561,0.9774011299435028,1.0,0.9402985074626866,0.9692307692307692
39,LSTM,2,emb,0.3445251563143521,0.5071707045391256,0.6229971724787936,0.0,0.0,0.0,0.6440677966101694,0.0,0.0,0.0
40,CNN,2,raw seq,0.9989838017340626,0.9994430520746311,0.9783223374175306,0.9875,0.9564164648910412,0.971709717097171,0.9830508474576272,1.0,0.9545454545454546,0.9767441860465117
41,CNN,2,emb,0.343575097816161,0.4972848788638263,0.6229971724787936,0.0,0.0,0.0,0.6440677966101694,0.0,0.0,0.0
42,SVM,3,raw seq,0.9989338950935114,0.9993290391841116,0.9886899151743638,0.9923857868020305,0.9775,0.9848866498740554,0.9661016949152542,0.927536231884058,0.9846153846153847,0.9552238805970149
43,SVM,3,emb,0.616322347370269,0.7376543209876544,0.7153628652214892,0.5888324873096447,0.6236559139784946,0.6057441253263709,0.7231638418079096,0.6666666666666666,0.6388888888888888,0.6524822695035462
44,Logistic Regression,3,raw seq,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9887005649717514,0.9710144927536232,1.0,0.9852941176470589
45,Logistic Regression,3,emb,0.5549173960593181,0.697933440687064,0.7756833176248822,0.8045685279187818,0.6631799163179917,0.7270642201834863,0.7005649717514124,0.6956521739130435,0.6,0.6442953020134228
46,Decision Tree,3,raw seq,0.9734708916728076,0.9782608695652174,1.0,1.0,1.0,1.0,0.9830508474576272,0.9565217391304348,1.0,0.9777777777777777
47,Decision Tree,3,emb,0.5094392048231616,0.6223832528180354,0.8180961357210179,0.8401015228426396,0.7180043383947939,0.7742690058479532,0.5875706214689266,0.5362318840579711,0.47435897435897434,0.5034013605442177
48,Random Forest,3,raw seq,0.9991534822696206,0.9994632313472893,0.9924599434495759,1.0,0.9800995024875622,0.9899497487437185,0.9774011299435028,0.9565217391304348,0.9850746268656716,0.9705882352941176
49,Random Forest,3,emb,0.628087403260127,0.751610305958132,0.7879359095193214,0.7131979695431472,0.7150127226463104,0.7141041931385006,0.7401129943502824,0.6376811594202898,0.676923076923077,0.6567164179104477
50,Baseline,3,raw seq,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
51,Baseline,3,emb,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
52,LSTM,3,raw seq,0.9544344577194548,0.9806763285024155,0.9340245051837889,0.8654822335025381,0.952513966480447,0.9069148936170214,0.9322033898305084,0.8840579710144928,0.9384615384615385,0.9104477611940298
53,LSTM,3,emb,0.4494277997129883,0.5929951690821256,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
54,CNN,3,raw seq,0.9919260994298731,0.9949006977992485,0.9698397737983034,0.9670050761421319,0.9525,0.9596977329974811,0.9491525423728814,0.9130434782608695,0.9545454545454546,0.9333333333333332
55,CNN,3,emb,0.4425950265177385,0.5776972624798712,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
56,SVM,4,raw seq,0.9999999999999998,1.0,0.9924599434495759,0.9974619289340102,0.9825,0.9899244332493703,1.0,1.0,1.0,1.0
57,SVM,4,emb,0.5981398078338002,0.7387949543746645,0.7134778510838832,0.5736040609137056,0.6243093922651933,0.5978835978835979,0.7005649717514124,0.5652173913043478,0.6290322580645161,0.5954198473282443
58,Logistic Regression,4,raw seq,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,Logistic Regression,4,emb,0.6529387654114733,0.7822061191626409,0.7662582469368521,0.8045685279187818,0.6495901639344263,0.7188208616780045,0.768361581920904,0.782608695652174,0.675,0.7248322147651006
60,Decision Tree,4,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,Decision Tree,4,emb,0.5136664222997599,0.6480810520665594,0.8162111215834119,0.8197969543147208,0.7225950782997763,0.7681331747919143,0.632768361581921,0.5797101449275363,0.5263157894736842,0.5517241379310345
62,Random Forest,4,raw seq,0.9999999999999999,1.0,0.9924599434495759,1.0,0.9800995024875622,0.9899497487437185,1.0,1.0,1.0,1.0
63,Random Forest,4,emb,0.6695549308590899,0.7743558776167472,0.7822808671065034,0.6928934010152284,0.7127937336814621,0.7027027027027027,0.7796610169491526,0.6811594202898551,0.734375,0.7067669172932332
64,Baseline,4,raw seq,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
65,Baseline,4,emb,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
