,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1,,,,,,,,,,,,
40,CNN,2,raw seq,0.96900124,0.979066023,0.956644675,0.982233503,0.908450704,0.943902439,0.943502825,0.971014493,0.893333333,0.930555556,,,,,,,,,,,,
41,CNN,2,emb,0.363907872,0.466586151,0.628652215,0,0,0,0.610169492,0,0,0,,,,,,,,,,,,
42,SVM,3,raw seq,1,1,0.992459943,0.997461929,0.9825,0.989924433,0.97740113,1,0.945205479,0.971830986,,,,,,,,,,,,
43,SVM,3,emb,0.661449953,0.768652711,0.712535344,0.593908629,0.617414248,0.605433376,0.728813559,0.666666667,0.647887324,0.657142857,,,,,,,,,,,,
44,Logistic Regression,3,raw seq,0.999792961,0.999865808,1,1,1,1,0.988700565,0.985507246,0.985507246,0.985507246,,,,,,,,,,,,
45,Logistic Regression,3,emb,0.618861647,0.744766506,0.770028275,0.819796954,0.651209677,0.725842697,0.717514124,0.782608696,0.606741573,0.683544304,,,,,,,,,,,,
46,Decision Tree,3,raw seq,0.962999614,0.983494364,1,1,1,1,0.983050847,0.985507246,0.971428571,0.978417266,,,,,,,,,,,,
47,Decision Tree,3,emb,0.415304925,0.558105207,0.824693685,0.842639594,0.728070175,0.781176471,0.548022599,0.420289855,0.420289855,0.420289855,,,,,,,,,,,,
48,Random Forest,3,raw seq,1,1,0.993402451,1,0.982543641,0.991194969,0.97740113,1,0.945205479,0.971830986,,,,,,,,,,,,
49,Random Forest,3,emb,0.657216943,0.763955985,0.78793591,0.692893401,0.724137931,0.708171206,0.774011299,0.637681159,0.745762712,0.6875,,,,,,,,,,,,
50,Baseline,3,raw seq,0.389830508,0.5,0.371347785,1,0.371347785,0.541580756,0.389830508,1,0.389830508,0.56097561,,,,,,,,,,,,
51,Baseline,3,emb,0.389830508,0.5,0.371347785,1,0.371347785,0.541580756,0.389830508,1,0.389830508,0.56097561,,,,,,,,,,,,
52,LSTM,3,raw seq,0.924937523,0.964170692,0.962299717,0.982233503,0.921428571,0.950859951,0.943502825,1,0.873417722,0.932432432,,,,,,,,,,,,
53,LSTM,3,emb,0.373556046,0.482823403,0.628652215,0,0,0,0.610169492,0,0,0,,,,,,,,,,,,
54,CNN,3,raw seq,0.956260087,0.977992485,0.982092366,0.992385787,0.960687961,0.97627965,0.95480226,1,0.896103896,0.945205479,,,,,,,,,,,,
55,CNN,3,emb,0.359962282,0.47893183,0.628652215,0,0,0,0.610169492,0,0,0,,,,,,,,,,,,
56,SVM,4,raw seq,0.999786871,0.999865084,0.992459943,0.997468354,0.982543641,0.989949749,0.994350282,1,0.985507246,0.99270073,,,,,,,,,,,,
57,SVM,4,emb,0.514951891,0.651308689,0.728557964,0.665822785,0.627684964,0.646191646,0.666666667,0.558823529,0.567164179,0.562962963,,,,,,,,,,,,
58,Logistic Regression,4,raw seq,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
59,Logistic Regression,4,emb,0.570376802,0.690636805,0.788878417,0.810126582,0.682302772,0.740740741,0.649717514,0.661764706,0.535714286,0.592105263,,,,,,,,,,,,
60,Decision Tree,4,raw seq,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
61,Decision Tree,4,emb,0.446346169,0.584187804,0.824693685,0.840506329,0.72967033,0.781176471,0.570621469,0.588235294,0.454545455,0.512820513,,,,,,,,,,,,
62,Random Forest,4,raw seq,0.999786871,0.999865084,0.994344958,1,0.985037406,0.992462312,0.994350282,1,0.985507246,0.99270073,,,,,,,,,,,,
63,Random Forest,4,emb,0.52905858,0.665339989,0.795475966,0.716455696,0.729381443,0.722860792,0.677966102,0.617647059,0.575342466,0.595744681,,,,,,,,,,,,
64,Baseline,4,raw seq,0.384180791,0.5,0.372290292,1,0.372290292,0.542582418,0.384180791,1,0.384180791,0.555102041,,,,,,,,,,,,
65,Baseline,4,emb,0.384180791,0.5,0.372290292,1,0.372290292,0.542582418,0.384180791,1,0.384180791,0.555102041,,,,,,,,,,,,
66,LSTM,4,raw seq,0.962607001,0.983405289,0.946277097,0.967088608,0.896713615,0.930572473,0.97740113,1,0.944444444,0.971428571,,,,,,,,,,,,
67,LSTM,4,emb,0.467814266,0.604222882,0.627709708,0,0,0,0.615819209,0,0,0,,,,,,,,,,,,
68,CNN,4,raw seq,0.983688255,0.992579601,0.966069746,0.982278481,0.930455635,0.955665025,0.966101695,1,0.918918919,0.957746479,,,,,,,,,,,,
69,CNN,4,emb,0.438238401,0.581287102,0.627709708,0,0,0,0.615819209,0,0,0,,,,,,,,,,,,
70,SVM,5,raw seq,0.999134199,0.999453999,0.993402451,0.997481108,0.985074627,0.991239049,0.971751412,0.984848485,0.942028986,0.962962963,,,,,,,,,,,,
71,SVM,5,emb,0.69956031,0.831968332,0.711592837,0.614609572,0.614609572,0.614609572,0.745762712,0.696969697,0.647887324,0.671532847,,,,,,,,,,,,
72,Logistic Regression,5,raw seq,0.995977807,0.997679498,1,1,1,1,0.97740113,1,0.942857143,0.970588235,,,,,,,,,,,,
73,Logistic Regression,5,emb,0.610086085,0.718604969,0.779453346,0.793450882,0.674518201,0.729166667,0.689265537,0.712121212,0.56626506,0.630872483,,,,,,,,,,,,
74,Decision Tree,5,raw seq,0.947049005,0.978910729,1,1,1,1,0.97740113,0.984848485,0.955882353,0.970149254,,,,,,,,,,,,
75,Decision Tree,5,emb,0.481486028,0.648580399,0.816211122,0.828715365,0.721491228,0.771395076,0.627118644,0.560606061,0.5,0.528571429,,,,,,,,,,,,
76,Random Forest,5,raw seq,0.99867153,0.999180999,0.994344958,1,0.985111663,0.9925,0.97740113,1,0.942857143,0.970588235,,,,,,,,,,,,
77,Random Forest,5,emb,0.717035088,0.812994813,0.788878417,0.702770781,0.724675325,0.713554987,0.757062147,0.681818182,0.671641791,0.676691729,,,,,,,,,,,,
78,Baseline,5,raw seq,0.372881356,0.5,0.374175306,1,0.374175306,0.544581619,0.372881356,1,0.372881356,0.543209877,,,,,,,,,,,,
79,Baseline,5,emb,0.372881356,0.5,0.374175306,1,0.374175306,0.544581619,0.372881356,1,0.372881356,0.543209877,,,,,,,,,,,,
80,LSTM,5,raw seq,0.975841689,0.985667486,0.952874647,0.95465995,0.922141119,0.938118812,0.915254237,0.939393939,0.849315068,0.892086331,,,,,,,,,,,,
81,LSTM,5,emb,0.429691571,0.588725089,0.625824694,0,0,0,0.627118644,0,0,0,,,,,,,,,,,,
82,CNN,5,raw seq,0.979552851,0.987441987,0.963242224,0.989924433,0.918224299,0.952727273,0.926553672,0.96969697,0.853333333,0.907801418,,,,,Fold,SVM,LR,DT,RF,LSTM,CNN,Base
83,CNN,5,emb,0.404648356,0.553644554,0.625824694,0,0,0,0.627118644,0,0,0,,,,,1,1.000,1.000,0.968,1.000,0.965,0.964,0.339
84,SVM,6,raw seq,0.997614624,0.998735777,0.992467043,0.995,0.985148515,0.990049751,0.971590909,0.936507937,0.983333333,0.959349593,,,,,,0.512,0.496,0.405,0.504,0.368,0.354,0.339
85,SVM,6,emb,0.609713104,0.76478438,0.707156309,0.57,0.621253406,0.59452412,0.732954545,0.634920635,0.625,0.62992126,,,,,2,0.997,1.000,0.976,1.000,0.908,0.924,0.384
86,Logistic Regression,6,raw seq,0.999244015,0.999578592,1,1,1,1,0.988636364,0.984126984,0.984126984,0.984126984,,,,,,0.651,0.618,0.500,0.637,0.365,0.347,0.384
87,Logistic Regression,6,emb,0.703562111,0.808329822,0.77306968,0.7875,0.668789809,0.723306544,0.75,0.80952381,0.614457831,0.698630137,,,,,3,0.998,0.999,0.959,0.999,0.988,0.969,0.390
88,Decision Tree,6,raw seq,0.969230769,0.991150442,1,1,1,1,0.988636364,1,0.969230769,0.984375,,,,,,0.571,0.619,0.513,0.611,0.366,0.364,0.390
89,Decision Tree,6,emb,0.475791333,0.663997752,0.812617702,0.8275,0.718004338,0.768873403,0.613636364,0.53968254,0.465753425,0.5,,,,,4,1.000,1.000,0.963,1.000,0.925,0.956,0.390
90,Random Forest,6,raw seq,0.998719251,0.999297654,0.994350282,1,0.985221675,0.992555831,0.977272727,0.952380952,0.983606557,0.967741935,,,,,,0.661,0.619,0.415,0.657,0.374,0.360,0.390
91,Random Forest,6,emb,0.678157392,0.803975277,0.778719397,0.695,0.710997442,0.702907712,0.767045455,0.698412698,0.666666667,0.682170543,,,,,5,1.000,1.000,1.000,1.000,0.963,0.984,0.384
92,Baseline,6,raw seq,0.357954545,0.5,0.376647834,1,0.376647834,0.547195622,0.357954545,1,0.357954545,0.527196653,,,,,,0.515,0.570,0.446,0.529,0.468,0.438,0.384
93,Baseline,6,emb,0.357954545,0.5,0.376647834,1,0.376647834,0.547195622,0.357954545,1,0.357954545,0.527196653,,,,,6,0.999,0.996,0.947,0.999,0.976,0.980,0.373
94,LSTM,6,raw seq,0.987608255,0.994100295,0.97645951,0.9975,0.943262411,0.969623329,0.960227273,1,0.9,0.947368421,,,,,,0.700,0.610,0.481,0.717,0.430,0.405,0.373
95,LSTM,6,emb,0.351559778,0.493117011,0.623352166,0,0,0,0.642045455,0,0,0,,,,,7,0.998,0.999,0.969,0.999,0.988,0.959,0.358
96,CNN,6,raw seq,0.958945571,0.983986515,0.951035782,0.9325,0.93718593,0.934837093,0.948863636,0.920634921,0.935483871,0.928,,,,,,0.610,0.704,0.476,0.678,0.352,0.333,0.358
97,CNN,6,emb,0.33300421,0.487217306,0.623352166,0,0,0,0.642045455,0,0,0,,,,,,,,,,,,
