,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
26,CNN,1,raw seq,0.9836945197279753,0.9949910772225826,0.9491094147582697,0.978494623655914,0.8892508143322475,0.931740614334471,0.9601769911504425,0.9728260869565217,0.9322916666666666,0.952127659574468
27,CNN,1,emb,0.396754806380101,0.5219419208306295,0.6450381679389313,0.0,0.0,0.0,0.5929203539823009,0.0,0.0,0.0
28,SVM,2,raw seq,1.0000000000000002,1.0,0.9921807124239791,0.997737556561086,0.9821826280623608,0.98989898989899,0.7586206896551724,0.0,0.0,0.0
29,SVM,2,emb,0.3401515967248018,0.6691919191919192,0.7245873153779322,0.6515837104072398,0.6385809312638581,0.64501679731243,0.6436781609195402,0.7619047619047619,0.38095238095238093,0.5079365079365079
30,Logistic Regression,2,raw seq,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.7586206896551724,0.0,0.0,0.0
31,Logistic Regression,2,emb,0.5441863139193648,0.7182539682539681,0.7775847089487402,0.7918552036199095,0.6809338521400778,0.7322175732217573,0.6206896551724138,0.7619047619047619,0.36363636363636365,0.4923076923076923
32,Decision Tree,2,raw seq,0.2413793103448276,0.5,1.0,1.0,1.0,1.0,0.7586206896551724,0.0,0.0,0.0
33,Decision Tree,2,emb,0.2908721827400348,0.5793650793650794,0.8105994787141616,0.8393665158371041,0.7162162162162162,0.7729166666666666,0.5632183908045977,0.47619047619047616,0.2702702702702703,0.3448275862068966
34,Random Forest,2,raw seq,1.0,1.0,0.9930495221546481,1.0,0.9822222222222222,0.9910313901345292,0.9195402298850575,0.6666666666666666,1.0,0.8
35,Random Forest,2,emb,0.28157974583630774,0.6042568542568543,0.7862728062554301,0.7013574660633484,0.7311320754716981,0.7159353348729792,0.6206896551724138,0.47619047619047616,0.3125,0.37735849056603776
36,Baseline,2,raw seq,0.2413793103448276,0.5,0.3840139009556907,1.0,0.3840139009556907,0.5549278091650973,0.2413793103448276,1.0,0.2413793103448276,0.3888888888888889
