,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
35,SVM,5,raw seq,0.41437251204072467,0.6973684210526316,0.996607294317218,0.9977477477477478,0.9932735426008968,0.995505617977528,0.4745762711864407,0.0,0.0,0.0
36,Logistic Regression,5,raw seq,0.40525768913927696,0.6842105263157895,1.0,1.0,1.0,1.0,0.4745762711864407,0.0,0.0,0.0
37,Decision Tree,5,raw seq,0.3220338983050847,0.4375,1.0,1.0,1.0,1.0,0.5932203389830508,0.0,0.0,0.0
38,Random Forest,5,raw seq,0.4304357114089367,0.6947368421052632,0.9974554707379135,1.0,0.9932885906040269,0.9966329966329966,0.4745762711864407,0.0,0.0,0.0
39,Baseline,5,raw seq,0.3220338983050847,0.5,0.37659033078880405,1.0,0.37659033078880405,0.5471349353049907,0.3220338983050847,1.0,0.3220338983050847,0.4871794871794871
40,LSTM,5,raw seq,0.6688623389676873,0.675,0.9338422391857506,0.8693693693693694,0.9507389162561576,0.908235294117647,0.6610169491525424,0.47368421052631576,0.47368421052631576,0.47368421052631576
41,CNN,5,raw seq,0.4185150769571694,0.7,0.9881255301102629,0.9887387387387387,0.9799107142857143,0.984304932735426,0.7627118644067796,0.8947368421052632,0.5862068965517241,0.7083333333333333
42,SVM,6,raw seq,0.5000462435235564,0.717948717948718,0.9957374254049446,0.9977116704805492,0.990909090909091,0.9942987457240592,0.4461538461538462,0.0,0.0,0.0
43,Logistic Regression,6,raw seq,0.5000462435235564,0.717948717948718,1.0,1.0,1.0,1.0,0.4307692307692308,0.0,0.0,0.0
44,Decision Tree,6,raw seq,0.4,0.3717948717948718,1.0,1.0,1.0,1.0,0.4461538461538462,0.0,0.0,0.0
45,Random Forest,6,raw seq,0.5562220663182201,0.717948717948718,0.9974424552429667,1.0,0.9931818181818182,0.9965792474344356,0.4307692307692308,0.0,0.0,0.0
46,Baseline,6,raw seq,0.4,0.5,0.37254901960784315,1.0,0.37254901960784315,0.5428571428571428,0.4,1.0,0.4,0.5714285714285715
47,LSTM,6,raw seq,0.6408180139808983,0.849112426035503,0.9786871270247229,0.9862700228832952,0.9577777777777777,0.971815107102593,0.5230769230769231,0.0,0.0,0.0
48,CNN,6,raw seq,0.5380115891589112,0.7504930966469429,0.96845694799659,0.9862700228832952,0.9329004329004329,0.9588431590656286,0.47692307692307695,0.0,0.0,0.0
