,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
26,CNN,1,raw seq,0.770581403695647,0.9355010660980811,0.9562575941676792,0.9651898734177216,0.9242424242424242,0.9442724458204336,0.6144578313253012,0.006802721088435374,0.06666666666666667,0.01234567901234568
27,CNN,1,emb,0.32839038694479383,0.4941745354858361,0.6160388821385177,0.0,0.0,0.0,0.6457831325301204,0.0,0.0,0.0
28,SVM,2,raw seq,0.9971246726034573,0.9891304347826086,0.9969635627530364,0.996415770609319,0.9928571428571429,0.9946332737030412,0.264,0.0,0.0,0.0
29,SVM,2,emb,0.7373587322760913,0.5518362977602108,0.7672064777327935,0.44086021505376344,0.6243654822335025,0.5168067226890757,0.272,0.07065217391304347,0.5416666666666666,0.125
30,Logistic Regression,2,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,0.264,0.0,0.0,0.0
31,Logistic Regression,2,emb,0.7335415657070201,0.5479660737812911,0.8137651821862348,0.8494623655913979,0.6253298153034301,0.7203647416413375,0.468,0.4076086956521739,0.7575757575757576,0.5300353356890459
32,Decision Tree,2,raw seq,0.736,0.5,1.0,1.0,1.0,1.0,0.264,0.0,0.0,0.0
33,Decision Tree,2,emb,0.7316385323522975,0.49493577075098816,0.854251012145749,0.8243727598566308,0.7076923076923077,0.7615894039735099,0.412,0.33152173913043476,0.7176470588235294,0.45353159851301117
34,Random Forest,2,raw seq,0.9988371290545204,0.9961297760210804,0.9989878542510121,1.0,0.9964285714285714,0.998211091234347,0.264,0.0,0.0,0.0
35,Random Forest,2,emb,0.7345846760482166,0.5607295783926218,0.8360323886639676,0.6630824372759857,0.7312252964426877,0.6954887218045114,0.276,0.08695652173913043,0.5517241379310345,0.15023474178403756
36,Baseline,2,raw seq,0.736,0.5,0.2823886639676113,1.0,0.2823886639676113,0.4404104183109708,0.736,1.0,0.736,0.847926267281106
37,Baseline,2,emb,0.736,0.5,0.2823886639676113,1.0,0.2823886639676113,0.4404104183109708,0.736,1.0,0.736,0.847926267281106
38,LSTM,2,raw seq,1.0,1.0,0.9423076923076923,0.953405017921147,0.8580645161290322,0.9032258064516129,0.988,1.0,0.983957219251337,0.9919137466307278
39,LSTM,2,emb,0.6971716182443493,0.48077239789196313,0.7176113360323887,0.0,0.0,0.0,0.264,0.0,0.0,0.0
40,CNN,2,raw seq,0.9999706227967098,0.9999176548089591,0.9726720647773279,0.985663082437276,0.9228187919463087,0.9532062391681109,0.276,0.016304347826086956,1.0,0.03208556149732621
41,CNN,2,emb,0.6926400008353973,0.46916172595520417,0.7176113360323887,0.0,0.0,0.0,0.264,0.0,0.0,0.0
42,SVM,3,raw seq,1.0000000000000002,1.0,0.9932030586236194,0.997737556561086,0.984375,0.9910112359550562,0.6557377049180327,0.0,0.0,0.0
43,SVM,3,emb,0.41280703241276934,0.611904761904762,0.719626168224299,0.6199095022624435,0.6284403669724771,0.6241457858769932,0.6885245901639344,0.7619047619047619,0.5333333333333333,0.6274509803921569
44,Logistic Regression,3,raw seq,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.6557377049180327,0.0,0.0,0.0
45,Logistic Regression,3,emb,0.4888802844941914,0.594047619047619,0.7757009345794392,0.7963800904977375,0.6692015209125475,0.7272727272727273,0.5573770491803278,0.7619047619047619,0.42105263157894735,0.5423728813559322
46,Decision Tree,3,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,Decision Tree,3,emb,0.3791647340041892,0.5482142857142858,0.8113848768054376,0.8190045248868778,0.7182539682539683,0.7653276955602538,0.5409836065573771,0.47619047619047616,0.37037037037037035,0.4166666666666667
48,Random Forest,3,raw seq,1.0,1.0,0.994052676295667,1.0,0.9844097995545658,0.9921436588103255,0.8852459016393442,0.6666666666666666,1.0,0.8
49,Random Forest,3,emb,0.3836814993287719,0.5833333333333334,0.7935429056924383,0.6877828054298643,0.7432762836185819,0.7144535840188013,0.6065573770491803,0.42857142857142855,0.42857142857142855,0.42857142857142855
50,Baseline,3,raw seq,0.3442622950819672,0.5,0.37553101104502973,1.0,0.37553101104502973,0.5460160592958616,0.3442622950819672,1.0,0.3442622950819672,0.5121951219512195
51,Baseline,3,emb,0.3442622950819672,0.5,0.37553101104502973,1.0,0.37553101104502973,0.5460160592958616,0.3442622950819672,1.0,0.3442622950819672,0.5121951219512195
52,LSTM,3,raw seq,1.0000000000000002,1.0,0.9566694987255735,1.0,0.896551724137931,0.9454545454545454,0.7868852459016393,1.0,0.6176470588235294,0.7636363636363637
53,LSTM,3,emb,0.30503369943799097,0.4261904761904761,0.6244689889549703,0.0,0.0,0.0,0.6557377049180327,0.0,0.0,0.0
54,CNN,3,raw seq,1.0,1.0,0.9634664401019541,0.9728506787330317,0.9327548806941431,0.9523809523809523,0.9672131147540983,1.0,0.9130434782608695,0.9545454545454545
55,CNN,3,emb,0.30492754964977825,0.42023809523809524,0.6244689889549703,0.0,0.0,0.0,0.6557377049180327,0.0,0.0,0.0
56,SVM,4,raw seq,0.6646323342109255,0.875,0.9940273037542662,1.0,0.9842342342342343,0.9920544835414302,0.5303030303030303,0.0,0.0,0.0
57,SVM,4,emb,0.3229926020234666,0.35625,0.7303754266211604,0.6590389016018307,0.6329670329670329,0.6457399103139013,0.4696969696969697,0.15384615384615385,0.23529411764705882,0.186046511627907
58,Logistic Regression,4,raw seq,0.6646323342109255,0.875,1.0,1.0,1.0,1.0,0.5303030303030303,0.0,0.0,0.0
59,Logistic Regression,4,emb,0.4121632157160984,0.5668269230769232,0.7790102389078498,0.7940503432494279,0.6724806201550387,0.7282266526757608,0.5303030303030303,0.4230769230769231,0.4074074074074074,0.4150943396226415
60,Decision Tree,4,raw seq,0.3939393939393939,0.4375,1.0,1.0,1.0,1.0,0.5303030303030303,0.0,0.0,0.0
61,Decision Tree,4,emb,0.38129079027467105,0.5052884615384615,0.8148464163822525,0.8077803203661327,0.7263374485596708,0.7648970747562296,0.5303030303030303,0.4230769230769231,0.4074074074074074,0.4150943396226415
62,Random Forest,4,raw seq,0.6641486508390975,0.85,0.9974402730375427,1.0,0.9931818181818182,0.9965792474344356,0.5303030303030303,0.0,0.0,0.0
63,Random Forest,4,emb,0.39773658849782967,0.5177884615384615,0.787542662116041,0.665903890160183,0.7385786802030457,0.7003610108303249,0.5454545454545454,0.15384615384615385,0.3333333333333333,0.21052631578947367
64,Baseline,4,raw seq,0.3939393939393939,0.5,0.3728668941979522,1.0,0.3728668941979522,0.5431945307644499,0.3939393939393939,1.0,0.3939393939393939,0.5652173913043478
65,Baseline,4,emb,0.3939393939393939,0.5,0.3728668941979522,1.0,0.3728668941979522,0.5431945307644499,0.3939393939393939,1.0,0.3939393939393939,0.5652173913043478
66,LSTM,4,raw seq,0.4323186547631067,0.6259615384615385,0.9641638225255973,0.9725400457665904,0.9340659340659341,0.9529147982062781,0.42424242424242425,0.0,0.0,0.0
67,LSTM,4,emb,0.39917258905456476,0.4783653846153846,0.6271331058020477,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0
68,CNN,4,raw seq,0.28425035182153,0.19999999999999996,0.6945392491467577,0.9954233409610984,0.549936788874842,0.7084690553745929,0.15151515151515152,0.0,0.0,0.0
69,CNN,4,emb,0.3746360892472738,0.4572115384615385,0.6271331058020477,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0
70,SVM,5,raw seq,0.37394741049304686,0.6555555555555556,0.9957627118644068,0.9977528089887641,0.9910714285714286,0.9944008958566629,0.5,0.0,0.0,0.0
71,SVM,5,emb,0.21950923517866866,0.23194444444444445,0.7288135593220338,0.6719101123595506,0.6321353065539113,0.6514161220043573,0.43103448275862066,0.16666666666666666,0.14285714285714285,0.15384615384615383
