,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
37,Baseline,2,emb,0.2937853107344633,0.5,0.38737040527803956,1.0,0.38737040527803956,0.5584239130434783,0.2937853107344633,1.0,0.2937853107344633,0.4541484716157206
38,LSTM,2,raw seq,0.9152586397883292,0.963076923076923,0.9132893496701225,0.9099756690997567,0.8717948717948718,0.8904761904761905,0.8870056497175142,0.8461538461538461,0.7857142857142857,0.8148148148148148
39,LSTM,2,emb,0.33097997562302084,0.48907692307692313,0.6126295947219604,0.0,0.0,0.0,0.7062146892655368,0.0,0.0,0.0
40,CNN,2,raw seq,0.9332272498810861,0.9818461538461539,0.9359095193213949,0.8734793187347932,0.9573333333333334,0.9134860050890586,0.9209039548022598,0.8076923076923077,0.9130434782608695,0.8571428571428572
41,CNN,2,emb,0.3172370631417494,0.49399999999999994,0.6126295947219604,0.0,0.0,0.0,0.7062146892655368,0.0,0.0,0.0
42,SVM,3,raw seq,1.0,1.0,0.9924599434495759,0.9974358974358974,0.9823232323232324,0.9898218829516541,0.9887005649717514,1.0,0.9733333333333334,0.9864864864864865
43,SVM,3,emb,0.6389128639242407,0.7320205479452054,0.7200754005655042,0.6076923076923076,0.6220472440944882,0.6147859922178989,0.6949152542372882,0.6027397260273972,0.6376811594202898,0.6197183098591549
44,Logistic Regression,3,raw seq,0.9992440337043611,0.9994731296101159,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.9864864864864865,0.9931972789115647
45,Logistic Regression,3,emb,0.6834792545959983,0.7893835616438356,0.763430725730443,0.823076923076923,0.6381709741550696,0.7189249720044792,0.751412429378531,0.8493150684931506,0.6526315789473685,0.738095238095238
46,Decision Tree,3,raw seq,0.9864864864864865,0.9951923076923077,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.9864864864864865,0.9931972789115647
47,Decision Tree,3,emb,0.588380753952169,0.7203635405690199,0.8114985862393967,0.8025641025641026,0.7178899082568807,0.7578692493946732,0.6666666666666666,0.6575342465753424,0.5853658536585366,0.6193548387096773
48,Random Forest,3,raw seq,1.0,1.0,0.9943449575871819,1.0,0.9848484848484849,0.9923664122137404,0.9887005649717514,1.0,0.9733333333333334,0.9864864864864865
49,Random Forest,3,emb,0.675432511696359,0.7959035827186511,0.7860508953817154,0.6820512820512821,0.7208672086720868,0.7009222661396575,0.7627118644067796,0.6986301369863014,0.7183098591549296,0.7083333333333335
50,Baseline,3,raw seq,0.4124293785310734,0.5,0.36757775683317623,1.0,0.36757775683317623,0.5375603032391454,0.4124293785310734,1.0,0.4124293785310734,0.584
51,Baseline,3,emb,0.4124293785310734,0.5,0.36757775683317623,1.0,0.36757775683317623,0.5375603032391454,0.4124293785310734,1.0,0.4124293785310734,0.584
52,LSTM,3,raw seq,0.950406260817583,0.9723393045310853,0.943449575871819,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9152542372881356,0.8767123287671232,0.9142857142857143,0.8951048951048951
53,LSTM,3,emb,0.4125935319585273,0.5129083245521602,0.6324222431668237,0.0,0.0,0.0,0.5875706214689266,0.0,0.0,0.0
54,CNN,3,raw seq,0.9451741586088078,0.988013698630137,0.9679547596606974,0.9974358974358974,0.9218009478672986,0.958128078817734,0.9830508474576272,1.0,0.9605263157894737,0.9798657718120806
55,CNN,3,emb,0.41040336633434127,0.514686512118019,0.6324222431668237,0.0,0.0,0.0,0.5875706214689266,0.0,0.0,0.0
56,SVM,4,raw seq,0.9988891650141418,0.9992096944151738,0.9915174363807728,0.9974358974358974,0.9798488664987406,0.98856416772554,0.9717514124293786,0.958904109589041,0.9722222222222222,0.9655172413793104
57,SVM,4,emb,0.6689072510555847,0.7193756585879874,0.7257304429783223,0.6461538461538462,0.6222222222222222,0.6339622641509435,0.672316384180791,0.5205479452054794,0.6229508196721312,0.5671641791044776
58,Logistic Regression,4,raw seq,0.9971486043250963,0.9981559536354058,1.0,1.0,1.0,1.0,0.9830508474576272,0.9726027397260274,0.9861111111111112,0.9793103448275863
59,Logistic Regression,4,emb,0.5825962105241389,0.6591148577449947,0.7832233741753063,0.8179487179487179,0.6673640167364017,0.7350230414746542,0.6497175141242938,0.6164383561643836,0.569620253164557,0.5921052631578947
60,Decision Tree,4,raw seq,0.9572555243508232,0.9766859852476291,1.0,1.0,1.0,1.0,0.9774011299435028,0.9726027397260274,0.9726027397260274,0.9726027397260274
